SIG_CD,SIG_ENG_NM,SIG_KOR_NM
11110,Jongno-gu,종로구
11140,Jung-gu,중구
11170,Yongsan-gu,용산구
11200,Seongdong-gu,성동구
11215,Gwangjin-gu,광진구
11230,Dongdaemun-gu,동대문구
11260,Jungnang-gu,중랑구
11290,Seongbuk-gu,성북구
11305,Gangbuk-gu,강북구
11320,Dobong-gu,도봉구
11350,Nowon-gu,노원구
11380,Eunpyeong-gu,은평구
11410,Seodaemun-gu,서대문구
11440,Mapo-gu,마포구
11470,Yangcheon-gu,양천구
11500,Gangseo-gu,강서구
11530,Guro-gu,구로구
11545,Geumcheon-gu,금천구
11560,Yeongdeungpo-gu,영등포구
11590,Dongjak-gu,동작구
11620,Gwanak-gu,관악구
11650,Seocho-gu,서초구
11680,Gangnam-gu,강남구
11710,Songpa-gu,송파구
11740,Gangdong-gu,강동구
26110,Jung-gu,중구
26140,Seo-gu,서구
26170,Dong-gu,동구
26200,Yeongdo-gu,영도구
26230,Busanjin-gu,부산진구
26260,Dongnae-gu,동래구
26290,Nam-gu,남구
26320,Buk-gu,북구
26350,Haeundae-gu,해운대구
26380,Saha-gu,사하구
26410,Geumjeong-gu,금정구
26440,Gangseo-gu,강서구
26470,Yeonje-gu,연제구
26500,Suyeong-gu,수영구
26530,Sasang-gu,사상구
26710,Gijang-gun,기장군
27110,Jung-gu,중구
27140,Dong-gu,동구
27170,Seo-gu,서구
27200,Nam-gu,남구
27230,Buk-gu,북구
27260,Suseong-gu,수성구
27290,Dalseo-gu,달서구
27710,Dalseong-gun,달성군
28110,Jung-gu,중구
28140,Dong-gu,동구
28177,Michuhol-gu,미추홀구
28185,Yeonsu-gu,연수구
28200,Namdong-gu,남동구
28237,Bupyeong-gu,부평구
28245,Gyeyang-gu,계양구
28260,Seo-gu,서구
28710,Ganghwa-gun,강화군
28720,Ongjin-gun,옹진군
29110,Dong-gu,동구
29140,Seo-gu,서구
29155,Nam-gu,남구
29170,Buk-gu,북구
29200,Gwangsan-gu,광산구
30110,Dong-gu,동구
30140,Jung-gu,중구
30170,Seo-gu,서구
30200,Yuseong-gu,유성구
30230,Daedeok-gu,대덕구
31110,Jung-gu,중구
31140,Nam-gu,남구
31170,Dong-gu,동구
31200,Buk-gu,북구
31710,Ulju-gun,울주군
36110,Sejong-si,세종특별자치시
41111,"Jangan-gu, Suwon-si",수원시 장안구
41113,"Gwonseon-gu, Suwon-si",수원시 권선구
41115,"Paldal-gu, Suwon-si",수원시 팔달구
